id,Country,CountryCode,Lat,Lon,Cases,Status,Date
0,China,,0,0,548,confirmed,2020-01-22T00:00:00Z
1,China,,0,0,643,confirmed,2020-01-23T00:00:00Z
2,China,,0,0,920,confirmed,2020-01-24T00:00:00Z
3,China,,0,0,1406,confirmed,2020-01-25T00:00:00Z
4,China,,0,0,2075,confirmed,2020-01-26T00:00:00Z
5,China,,0,0,2877,confirmed,2020-01-27T00:00:00Z
6,China,,0,0,5509,confirmed,2020-01-28T00:00:00Z
7,China,,0,0,6087,confirmed,2020-01-29T00:00:00Z
8,China,,0,0,8141,confirmed,2020-01-30T00:00:00Z
9,China,,0,0,9802,confirmed,2020-01-31T00:00:00Z
10,China,,0,0,11891,confirmed,2020-02-01T00:00:00Z
11,China,,0,0,16630,confirmed,2020-02-02T00:00:00Z
12,China,,0,0,19716,confirmed,2020-02-03T00:00:00Z
13,China,,0,0,23707,confirmed,2020-02-04T00:00:00Z
14,China,,0,0,27440,confirmed,2020-02-05T00:00:00Z
15,China,,0,0,30587,confirmed,2020-02-06T00:00:00Z
16,China,,0,0,34110,confirmed,2020-02-07T00:00:00Z
17,China,,0,0,36814,confirmed,2020-02-08T00:00:00Z
18,China,,0,0,39829,confirmed,2020-02-09T00:00:00Z
19,China,,0,0,42354,confirmed,2020-02-10T00:00:00Z
20,China,,0,0,44386,confirmed,2020-02-11T00:00:00Z
21,China,,0,0,44759,confirmed,2020-02-12T00:00:00Z
22,China,,0,0,59895,confirmed,2020-02-13T00:00:00Z
23,China,,0,0,66358,confirmed,2020-02-14T00:00:00Z
24,China,,0,0,68413,confirmed,2020-02-15T00:00:00Z
25,China,,0,0,70513,confirmed,2020-02-16T00:00:00Z
26,China,,0,0,72434,confirmed,2020-02-17T00:00:00Z
27,China,,0,0,74211,confirmed,2020-02-18T00:00:00Z
28,China,,0,0,74619,confirmed,2020-02-19T00:00:00Z
29,China,,0,0,75077,confirmed,2020-02-20T00:00:00Z
30,China,,0,0,75550,confirmed,2020-02-21T00:00:00Z
31,China,,0,0,77001,confirmed,2020-02-22T00:00:00Z
32,China,,0,0,77022,confirmed,2020-02-23T00:00:00Z
33,China,,0,0,77241,confirmed,2020-02-24T00:00:00Z
34,China,,0,0,77754,confirmed,2020-02-25T00:00:00Z
35,China,,0,0,78166,confirmed,2020-02-26T00:00:00Z
36,China,,0,0,78600,confirmed,2020-02-27T00:00:00Z
37,China,,0,0,78928,confirmed,2020-02-28T00:00:00Z
38,China,,0,0,79356,confirmed,2020-02-29T00:00:00Z
39,China,,0,0,79932,confirmed,2020-03-01T00:00:00Z
40,China,,0,0,80136,confirmed,2020-03-02T00:00:00Z
41,China,,0,0,80261,confirmed,2020-03-03T00:00:00Z
42,China,,0,0,80386,confirmed,2020-03-04T00:00:00Z
43,China,,0,0,80537,confirmed,2020-03-05T00:00:00Z
44,China,,0,0,80690,confirmed,2020-03-06T00:00:00Z
45,China,,0,0,80770,confirmed,2020-03-07T00:00:00Z
46,China,,0,0,80823,confirmed,2020-03-08T00:00:00Z
47,China,,0,0,80860,confirmed,2020-03-09T00:00:00Z
48,China,,0,0,80887,confirmed,2020-03-10T00:00:00Z
49,China,,0,0,80921,confirmed,2020-03-11T00:00:00Z
50,China,,0,0,80932,confirmed,2020-03-12T00:00:00Z
51,China,,0,0,80945,confirmed,2020-03-13T00:00:00Z
52,China,,0,0,80977,confirmed,2020-03-14T00:00:00Z
53,China,,0,0,81003,confirmed,2020-03-15T00:00:00Z
54,China,,0,0,81033,confirmed,2020-03-16T00:00:00Z
55,China,,0,0,81058,confirmed,2020-03-17T00:00:00Z
56,China,,0,0,81102,confirmed,2020-03-18T00:00:00Z
57,China,,0,0,81156,confirmed,2020-03-19T00:00:00Z
58,China,,0,0,81250,confirmed,2020-03-20T00:00:00Z
59,China,,0,0,81305,confirmed,2020-03-21T00:00:00Z
60,China,,0,0,81435,confirmed,2020-03-22T00:00:00Z
61,China,,0,0,81498,confirmed,2020-03-23T00:00:00Z
62,China,,0,0,81591,confirmed,2020-03-24T00:00:00Z
63,China,,0,0,81661,confirmed,2020-03-25T00:00:00Z
64,China,,0,0,81782,confirmed,2020-03-26T00:00:00Z
65,China,,0,0,81897,confirmed,2020-03-27T00:00:00Z
66,China,,0,0,81999,confirmed,2020-03-28T00:00:00Z
67,China,,0,0,82122,confirmed,2020-03-29T00:00:00Z
68,China,,0,0,82198,confirmed,2020-03-30T00:00:00Z
69,China,,0,0,82279,confirmed,2020-03-31T00:00:00Z
70,China,,0,0,82361,confirmed,2020-04-01T00:00:00Z
71,China,,0,0,82432,confirmed,2020-04-02T00:00:00Z
72,China,,0,0,82511,confirmed,2020-04-03T00:00:00Z
73,China,,0,0,82543,confirmed,2020-04-04T00:00:00Z
74,China,,0,0,82602,confirmed,2020-04-05T00:00:00Z
75,China,,0,0,82665,confirmed,2020-04-06T00:00:00Z
76,China,,0,0,82718,confirmed,2020-04-07T00:00:00Z
77,China,,0,0,82809,confirmed,2020-04-08T00:00:00Z
78,China,,0,0,82883,confirmed,2020-04-09T00:00:00Z
79,China,,0,0,82941,confirmed,2020-04-10T00:00:00Z
