id,Country,CountryCode,Lat,Lon,Cases,Status,Date
0,Italy,,0,0,2,confirmed,2020-01-31T00:00:00Z
1,Italy,,0,0,2,confirmed,2020-02-01T00:00:00Z
2,Italy,,0,0,2,confirmed,2020-02-02T00:00:00Z
3,Italy,,0,0,2,confirmed,2020-02-03T00:00:00Z
4,Italy,,0,0,2,confirmed,2020-02-04T00:00:00Z
5,Italy,,0,0,2,confirmed,2020-02-05T00:00:00Z
6,Italy,,0,0,2,confirmed,2020-02-06T00:00:00Z
7,Italy,,0,0,3,confirmed,2020-02-07T00:00:00Z
8,Italy,,0,0,3,confirmed,2020-02-08T00:00:00Z
9,Italy,,0,0,3,confirmed,2020-02-09T00:00:00Z
10,Italy,,0,0,3,confirmed,2020-02-10T00:00:00Z
11,Italy,,0,0,3,confirmed,2020-02-11T00:00:00Z
12,Italy,,0,0,3,confirmed,2020-02-12T00:00:00Z
13,Italy,,0,0,3,confirmed,2020-02-13T00:00:00Z
14,Italy,,0,0,3,confirmed,2020-02-14T00:00:00Z
15,Italy,,0,0,3,confirmed,2020-02-15T00:00:00Z
16,Italy,,0,0,3,confirmed,2020-02-16T00:00:00Z
17,Italy,,0,0,3,confirmed,2020-02-17T00:00:00Z
18,Italy,,0,0,3,confirmed,2020-02-18T00:00:00Z
19,Italy,,0,0,3,confirmed,2020-02-19T00:00:00Z
20,Italy,,0,0,3,confirmed,2020-02-20T00:00:00Z
21,Italy,,0,0,20,confirmed,2020-02-21T00:00:00Z
22,Italy,,0,0,62,confirmed,2020-02-22T00:00:00Z
23,Italy,,0,0,155,confirmed,2020-02-23T00:00:00Z
24,Italy,,0,0,229,confirmed,2020-02-24T00:00:00Z
25,Italy,,0,0,322,confirmed,2020-02-25T00:00:00Z
26,Italy,,0,0,453,confirmed,2020-02-26T00:00:00Z
27,Italy,,0,0,655,confirmed,2020-02-27T00:00:00Z
28,Italy,,0,0,888,confirmed,2020-02-28T00:00:00Z
29,Italy,,0,0,1128,confirmed,2020-02-29T00:00:00Z
30,Italy,,0,0,1694,confirmed,2020-03-01T00:00:00Z
31,Italy,,0,0,2036,confirmed,2020-03-02T00:00:00Z
32,Italy,,0,0,2502,confirmed,2020-03-03T00:00:00Z
33,Italy,,0,0,3089,confirmed,2020-03-04T00:00:00Z
34,Italy,,0,0,3858,confirmed,2020-03-05T00:00:00Z
35,Italy,,0,0,4636,confirmed,2020-03-06T00:00:00Z
36,Italy,,0,0,5883,confirmed,2020-03-07T00:00:00Z
37,Italy,,0,0,7375,confirmed,2020-03-08T00:00:00Z
38,Italy,,0,0,9172,confirmed,2020-03-09T00:00:00Z
39,Italy,,0,0,10149,confirmed,2020-03-10T00:00:00Z
40,Italy,,0,0,12462,confirmed,2020-03-11T00:00:00Z
41,Italy,,0,0,12462,confirmed,2020-03-12T00:00:00Z
42,Italy,,0,0,17660,confirmed,2020-03-13T00:00:00Z
43,Italy,,0,0,21157,confirmed,2020-03-14T00:00:00Z
44,Italy,,0,0,24747,confirmed,2020-03-15T00:00:00Z
45,Italy,,0,0,27980,confirmed,2020-03-16T00:00:00Z
46,Italy,,0,0,31506,confirmed,2020-03-17T00:00:00Z
47,Italy,,0,0,35713,confirmed,2020-03-18T00:00:00Z
48,Italy,,0,0,41035,confirmed,2020-03-19T00:00:00Z
49,Italy,,0,0,47021,confirmed,2020-03-20T00:00:00Z
50,Italy,,0,0,53578,confirmed,2020-03-21T00:00:00Z
51,Italy,,0,0,59138,confirmed,2020-03-22T00:00:00Z
52,Italy,,0,0,63927,confirmed,2020-03-23T00:00:00Z
53,Italy,,0,0,69176,confirmed,2020-03-24T00:00:00Z
54,Italy,,0,0,74386,confirmed,2020-03-25T00:00:00Z
55,Italy,,0,0,80589,confirmed,2020-03-26T00:00:00Z
56,Italy,,0,0,86498,confirmed,2020-03-27T00:00:00Z
57,Italy,,0,0,92472,confirmed,2020-03-28T00:00:00Z
58,Italy,,0,0,97689,confirmed,2020-03-29T00:00:00Z
59,Italy,,0,0,101739,confirmed,2020-03-30T00:00:00Z
60,Italy,,0,0,105792,confirmed,2020-03-31T00:00:00Z
61,Italy,,0,0,110574,confirmed,2020-04-01T00:00:00Z
62,Italy,,0,0,115242,confirmed,2020-04-02T00:00:00Z
63,Italy,,0,0,119827,confirmed,2020-04-03T00:00:00Z
64,Italy,,0,0,124632,confirmed,2020-04-04T00:00:00Z
65,Italy,,0,0,128948,confirmed,2020-04-05T00:00:00Z
66,Italy,,0,0,132547,confirmed,2020-04-06T00:00:00Z
67,Italy,,0,0,135586,confirmed,2020-04-07T00:00:00Z
68,Italy,,0,0,139422,confirmed,2020-04-08T00:00:00Z
69,Italy,,0,0,143626,confirmed,2020-04-09T00:00:00Z
70,Italy,,0,0,147577,confirmed,2020-04-10T00:00:00Z
